PAESE_PROV;INDS;OBS_VALUE;FREQ;ITTER107;TIME_PERIOD;OBS_STATUS;METADATA_EN;METADATA_IT
NO;AR;22841;A;ITG1;2013;p;A livello territoriale disaggregato, possono riscontrarsi incongruenze tra i dati annuali riguardanti la Capacità e quelli relativi al Movimento. Tali situazioni sono riconducibili all’applicazione incompleta, da parte degli enti territoriali, delle disposizioni che regolamentano le rilevazioni nelle strutture ricettive.;At very detailed territorial level, may be significant discrepancies between annual data on the Capacity and those regarding the Occupancy. These situations occur when the local tourism bodies apply partially the normative regarding the surveys on accommodation establishments.
NO;NI;94457;A;ITG1;2013;p;;
NO;PM;4,135233342;A;ITG1;2013;p;;
NO;AR_TEND;44,7803765;A;ITG1;2013;p;;
NO;NI_TEND;50,78860828;A;ITG1;2013;p;;
SE;AR;36597;A;ITG1;2013;p;;
SE;NI;145312;A;ITG1;2013;p;;
SE;PM;3,970598683;A;ITG1;2013;p;;
SE;AR_TEND;18,314367;A;ITG1;2013;p;;
SE;NI_TEND;6,437743091;A;ITG1;2013;p;;
FI;AR;10214;A;ITG1;2013;p;;
FI;NI;52851;A;ITG1;2013;p;;
FI;PM;5,174368514;A;ITG1;2013;p;;
FI;AR_TEND;-33,3202768;A;ITG1;2013;p;;
FI;NI_TEND;-27,99296974;A;ITG1;2013;p;;
DK;AR;26288;A;ITG1;2013;p;;
DK;NI;109483;A;ITG1;2013;p;;
DK;PM;4,164751978;A;ITG1;2013;p;;
DK;AR_TEND;14,70459901;A;ITG1;2013;p;;
DK;NI_TEND;14,62868151;A;ITG1;2013;p;;
IE;AR;18585;A;ITG1;2013;p;;
IE;NI;75011;A;ITG1;2013;p;;
IE;PM;4,036104385;A;ITG1;2013;p;;
IE;AR_TEND;25,36256324;A;ITG1;2013;p;;
IE;NI_TEND;16,11250426;A;ITG1;2013;p;;
UK;AR;138310;A;ITG1;2013;p;;
UK;NI;528353;A;ITG1;2013;p;;
UK;PM;3,820063625;A;ITG1;2013;p;;
UK;AR_TEND;9,521245427;A;ITG1;2013;p;;
UK;NI_TEND;9,413640647;A;ITG1;2013;p;;
NL;AR;75637;A;ITG1;2013;p;;
NL;NI;266651;A;ITG1;2013;p;;
NL;PM;3,525404233;A;ITG1;2013;p;;
NL;AR_TEND;3,754458162;A;ITG1;2013;p;;
NL;NI_TEND;6,253237594;A;ITG1;2013;p;;
FR;AR;399192;A;ITG1;2013;p;;
FR;NI;1470353;A;ITG1;2013;p;;
FR;PM;3,683322812;A;ITG1;2013;p;;
FR;AR_TEND;15,47587021;A;ITG1;2013;p;;
FR;NI_TEND;22,16160842;A;ITG1;2013;p;;
BE;AR;61651;A;ITG1;2013;p;;
BE;NI;254899;A;ITG1;2013;p;;
BE;PM;4,134547696;A;ITG1;2013;p;;
BE;AR_TEND;4,777362339;A;ITG1;2013;p;;
BE;NI_TEND;7,380149971;A;ITG1;2013;p;;
LU;AR;2204;A;ITG1;2013;p;;
LU;NI;8799;A;ITG1;2013;p;;
LU;PM;3,992286751;A;ITG1;2013;p;;
LU;AR_TEND;-8,166666667;A;ITG1;2013;p;;
LU;NI_TEND;-7,699569915;A;ITG1;2013;p;;
DE;AR;300089;A;ITG1;2013;p;;
DE;NI;1248111;A;ITG1;2013;p;;
DE;PM;4,159136123;A;ITG1;2013;p;;
DE;AR_TEND;2,275291143;A;ITG1;2013;p;;
DE;NI_TEND;8,922375274;A;ITG1;2013;p;;
CH_LI;AR;83763;A;ITG1;2013;p;;
CH_LI;NI;290416;A;ITG1;2013;p;;
CH_LI;PM;3,467115552;A;ITG1;2013;p;;
