REF_AREA;COICOP_REV;MEASURE;BASE_PER;IND_TYPE;FREQ;TIME_PERIOD;OBS_VALUE
ITC11;00;4;2010;11;M;2011-01;100.9
ITC11;00;4;2010;11;M;2011-02;101.2
ITC11;00;4;2010;11;M;2011-03;101.5
ITC11;00;4;2010;11;M;2011-04;102.1
ITC11;00;4;2010;11;M;2011-05;102.1
ITC11;00;4;2010;11;M;2011-06;102.3
ITC11;00;4;2010;11;M;2011-07;102.7
ITC11;00;4;2010;11;M;2011-08;103.1
ITC11;00;4;2010;11;M;2011-09;102.6
ITC11;00;4;2010;11;M;2011-10;103
ITC11;00;4;2010;11;M;2011-11;103.2
ITC11;00;4;2010;11;M;2011-12;103.8
ITC11;00;4;2010;11;M;2012-01;104.1
ITC11;00;4;2010;11;M;2012-02;104.6
ITC11;00;4;2010;11;M;2012-03;105
ITC11;00;4;2010;11;M;2012-04;105.5
ITC11;00;4;2010;11;M;2012-05;105.4
ITC11;00;4;2010;11;M;2012-06;105.6
ITC11;00;4;2010;11;M;2012-07;105.6
ITC11;00;4;2010;11;M;2012-08;106.3
ITC11;00;4;2010;11;M;2012-09;106
ITC11;00;4;2010;11;M;2012-10;106
ITC11;00;4;2010;11;M;2012-11;105.9
ITC11;00;4;2010;11;M;2012-12;106.3
ITC11;00;4;2010;11;M;2013-01;106.4
ITC11;00;4;2010;11;M;2013-02;106.5
ITC11;00;4;2010;11;M;2013-03;106.7
ITC11;00;4;2010;11;M;2013-04;106.5
ITC11;00;4;2010;11;M;2013-05;106.5
ITC11;00;4;2010;11;M;2013-06;106.8
ITC11;00;4;2010;11;M;2013-07;106.8
ITC11;00;4;2010;11;M;2013-08;107.3
ITC11;00;4;2010;11;M;2013-09;106.7
ITC11;00;4;2010;11;M;2013-10;106.6
ITC11;00;4;2010;11;M;2013-11;106.5
ITC11;00;4;2010;11;M;2013-12;106.9
ITC11;00;4;2010;11;M;2014-01;107
ITC11;00;4;2010;11;M;2014-02;106.9
ITC11;00;4;2010;11;M;2014-03;106.9
ITC11;00;4;2010;11;M;2014-04;107
ITC11;00;4;2010;11;M;2014-05;107.1
ITC11;00;4;2010;11;M;2014-06;107.1
ITC11;00;4;2010;11;M;2014-07;106.8
ITC11;00;4;2010;11;M;2014-08;107
ITC11;00;4;2010;11;M;2014-09;106.6
ITC11;00;4;2010;11;M;2014-10;106.9
ITC11;00;4;2010;11;M;2014-11;106.6
ITC11;00;4;2010;11;M;2014-12;106.8
ITC11;00;4;2010;11;M;2015-01;106.2
ITC11;00;4;2010;11;M;2015-02;106.5
ITC11;00;4;2010;11;M;2015-03;106.7
ITC11;00;4;2010;11;M;2015-04;106.8
ITC11;00;4;2010;11;M;2015-05;107
ITC11;00;6;2010;11;M;2011-01;0.2
ITC11;00;6;2010;11;M;2011-02;0.3
ITC11;00;6;2010;11;M;2011-03;0.3
ITC11;00;6;2010;11;M;2011-04;0.6
ITC11;00;6;2010;11;M;2011-05;0
ITC11;00;6;2010;11;M;2011-06;0.2
ITC11;00;6;2010;11;M;2011-07;0.4
ITC11;00;6;2010;11;M;2011-08;0.4
ITC11;00;6;2010;11;M;2011-09;-0.5
ITC11;00;6;2010;11;M;2011-10;0.4
ITC11;00;6;2010;11;M;2011-11;0.2
ITC11;00;6;2010;11;M;2011-12;0.6
ITC11;00;6;2010;11;M;2012-01;0.3
ITC11;00;6;2010;11;M;2012-02;0.5
ITC11;00;6;2010;11;M;2012-03;0.4
ITC11;00;6;2010;11;M;2012-04;0.5
ITC11;00;6;2010;11;M;2012-05;-0.1
ITC11;00;6;2010;11;M;2012-06;0.2
ITC11;00;6;2010;11;M;2012-07;0
ITC11;00;6;2010;11;M;2012-08;0.7
ITC11;00;6;2010;11;M;2012-09;-0.3
ITC11;00;6;2010;11;M;2012-10;0
ITC11;00;6;2010;11;M;2012-11;-0.1
ITC11;00;6;2010;11;M;2012-12;0.4
ITC11;00;6;2010;11;M;2013-01;0.1
ITC11;00;6;2010;11;M;2013-02;0.1
ITC11;00;6;2010;11;M;2013-03;0.2
ITC11;00;6;2010;11;M;2013-04;-0.2
ITC11;00;6;2010;11;M;2013-05;0
ITC11;00;6;2010;11;M;2013-06;0.3
ITC11;00;6;2010;11;M;2013-07;0
ITC11;00;6;2010;11;M;2013-08;0.5
ITC11;00;6;2010;11;M;2013-09;-0.6
ITC11;00;6;2010;11;M;2013-10;-0.1
ITC11;00;6;2010;11;M;2013-11;-0.1
ITC11;00;6;2010;11;M;2013-12;0.4
ITC11;00;6;2010;11;M;2014-01;0.1
ITC11;00;6;2010;11;M;2014-02;-0.1
ITC11;00;6;2010;11;M;2014-03;0
ITC11;00;6;2010;11;M;2014-04;0.1
ITC11;00;6;2010;11;M;2014-05;0.1
ITC11;00;6;2010;11;M;2014-06;0
ITC11;00;6;2010;11;M;2014-07;-0.3
ITC11;00;6;2010;11;M;2014-08;0.2
ITC11;00;6;2010;11;M;2014-09;-0.4
ITC11;00;6;2010;11;M;2014-10;0.3
ITC11;00;6;2010;11;M;2014-11;-0.3
ITC11;00;6;2010;11;M;2014-12;0.2
ITC11;00;6;2010;11;M;2015-01;-0.6
ITC11;00;6;2010;11;M;2015-02;0.3
ITC11;00;6;2010;11;M;2015-03;0.2
ITC11;00;6;2010;11;M;2015-04;0.1
ITC11;00;6;2010;11;M;2015-05;0.2
ITC11;00;7;2010;11;M;2011-01;1.9
ITC11;00;7;2010;11;M;2011-02;2.1
ITC11;00;7;2010;11;M;2011-03;2.1
ITC11;00;7;2010;11;M;2011-04;2.2
ITC11;00;7;2010;11;M;2011-05;2.2
ITC11;00;7;2010;11;M;2011-06;2.4
ITC11;00;7;2010;11;M;2011-07;2.3
ITC11;00;7;2010;11;M;2011-08;2.5
ITC11;00;7;2010;11;M;2011-09;2.3
ITC11;00;7;2010;11;M;2011-10;2.6
ITC11;00;7;2010;11;M;2011-11;2.8
ITC11;00;7;2010;11;M;2011-12;3.1
ITC11;00;7;2010;11;M;2012-01;3.2
ITC11;00;7;2010;11;M;2012-02;3.4
ITC11;00;7;2010;11;M;2012-03;3.4
ITC11;00;7;2010;11;M;2012-04;3.3
ITC11;00;7;2010;11;M;2012-05;3.2
ITC11;00;7;2010;11;M;2012-06;3.2
ITC11;00;7;2010;11;M;2012-07;2.8
ITC11;00;7;2010;11;M;2012-08;3.1
ITC11;00;7;2010;11;M;2012-09;3.3
ITC11;00;7;2010;11;M;2012-10;2.9
ITC11;00;7;2010;11;M;2012-11;2.6
ITC11;00;7;2010;11;M;2012-12;2.4
ITC11;00;7;2010;11;M;2013-01;2.2
ITC11;00;7;2010;11;M;2013-02;1.8
ITC11;00;7;2010;11;M;2013-03;1.6
ITC11;00;7;2010;11;M;2013-04;0.9
ITC11;00;7;2010;11;M;2013-05;1
ITC11;00;7;2010;11;M;2013-06;1.1
ITC11;00;7;2010;11;M;2013-07;1.1
ITC11;00;7;2010;11;M;2013-08;0.9
ITC11;00;7;2010;11;M;2013-09;0.7
ITC11;00;7;2010;11;M;2013-10;0.6
ITC11;00;7;2010;11;M;2013-11;0.6
ITC11;00;7;2010;11;M;2013-12;0.6
ITC11;00;7;2010;11;M;2014-01;0.6
ITC11;00;7;2010;11;M;2014-02;0.4
ITC11;00;7;2010;11;M;2014-03;0.2
ITC11;00;7;2010;11;M;2014-04;0.5
ITC11;00;7;2010;11;M;2014-05;0.6
ITC11;00;7;2010;11;M;2014-06;0.3
ITC11;00;7;2010;11;M;2014-07;0
ITC11;00;7;2010;11;M;2014-08;-0.3
ITC11;00;7;2010;11;M;2014-09;-0.1
ITC11;00;7;2010;11;M;2014-10;0.3
ITC11;00;7;2010;11;M;2014-11;0.1
ITC11;00;7;2010;11;M;2014-12;-0.1
ITC11;00;7;2010;11;M;2015-01;-0.7
ITC11;00;7;2010;11;M;2015-02;-0.4
ITC11;00;7;2010;11;M;2015-03;-0.2
ITC11;00;7;2010;11;M;2015-04;-0.2
ITC11;00;7;2010;11;M;2015-05;-0.1
