_ITTER107|_TIPO_DATO5|_TIPO_DATO5_DETT|_CLASSE_SAU|_FORMGIUR|_COLTIV_CONDUZ|_MANODOPERA|_SEXISTAT1|_ETA1|_CITTADMAD|_TITOLO_STUDIO|_DURATA|_PERCENTUALI|_TIME|_Value_|Flags|FREQ
IT|HMAN|WLC|HE_0|TOT|DIRMAN|THMAN|9|TOTAL|9|99|D_UN10|P26-50|2010|1| |A
IT|HMAN|WLC|HE_0|TOT|DIRMAN|THMAN|9|TOTAL|9|99|D11-20|P_UN25|2010|25| |A
IT|HMAN|WLC|HE_0|TOT|DIRMAN|THMAN|9|TOTAL|9|99|D201-250|P_UN25|2010|22| |A
IT|HMAN|WLC|HE_0|TOT|DIRMAN|THMAN|9|TOTAL|9|99|D251-300|P_UN25|2010|25| |A
IT|HMAN|WLC|HE_0|TOT|DIRMAN|THMAN|9|TOTAL|9|99|D_GE301|P_UN25|2010|55| |A
IT|HMAN|WLC|HE_0|TOT|DIRMAN|HOL|9|TOTAL|9|99|D31-50|P26-50|2010|1| |A
IT|HMAN|WLC|HE_0|TOT|DIRMAN|HOL|9|TOTAL|9|99|D51-100|P26-50|2010|3| |A
IT|HMAN|WLC|HE_0|TOT|DIRMAN|HOL|9|TOTAL|9|99|TOTAL|P26-50|2010|12| |A
IT|HMAN|WLC|HE_0|TOT|DIRMAN|SPOWF|9|TOTAL|9|99|D21-30|P_UN25|2010|1| |A
IT|HMAN|WLC|HE_0|TOT|MANWSP|THMAN|9|TOTAL|9|99|D101-200|P_UN25|2010|5| |A
